time	marker_0_x marker_0_y marker_0_z marker_1_x marker_1_y marker_1_z marker_2_x marker_2_y marker_2_z marker_3_x marker_3_y marker_3_z marker_4_x marker_4_y marker_4_z marker_5_x marker_5_y marker_5_z marker_6_x marker_6_y marker_6_z marker_7_x marker_7_y marker_7_z marker_8_x marker_8_y marker_8_z marker_9_x marker_9_y marker_9_z marker_10_x marker_10_y marker_10_z marker_11_x marker_11_y marker_11_z marker_12_x marker_12_y marker_12_z marker_13_x marker_13_y marker_13_z marker_14_x marker_14_y marker_14_z marker_15_x marker_15_y marker_15_z marker_16_x marker_16_y marker_16_z marker_17_x marker_17_y marker_17_z marker_18_x marker_18_y marker_18_z marker_19_x marker_19_y marker_19_z marker_20_x marker_20_y marker_20_z marker_21_x marker_21_y marker_21_z marker_22_x marker_22_y marker_22_z marker_23_x marker_23_y marker_23_z marker_24_x marker_24_y marker_24_z marker_25_x marker_25_y marker_25_z marker_26_x marker_26_y marker_26_z marker_27_x marker_27_y marker_27_z marker_28_x marker_28_y marker_28_z marker_29_x marker_29_y marker_29_z marker_30_x marker_30_y marker_30_z marker_31_x marker_31_y marker_31_z marker_32_x marker_32_y marker_32_z marker_33_x marker_33_y marker_33_z marker_34_x marker_34_y marker_34_z marker_35_x marker_35_y marker_35_z marker_36_x marker_36_y marker_36_z marker_37_x marker_37_y marker_37_z marker_38_x marker_38_y marker_38_z marker_39_x marker_39_y marker_39_z marker_40_x marker_40_y marker_40_z marker_41_x marker_41_y marker_41_z marker_42_x marker_42_y marker_42_z marker_43_x marker_43_y marker_43_z marker_44_x marker_44_y marker_44_z marker_45_x marker_45_y marker_45_z marker_46_x marker_46_y marker_46_z marker_47_x marker_47_y marker_47_z marker_48_x marker_48_y marker_48_z marker_49_x marker_49_y marker_49_z marker_50_x marker_50_y marker_50_z marker_51_x marker_51_y marker_51_z marker_52_x marker_52_y marker_52_z marker_53_x marker_53_y marker_53_z marker_54_x marker_54_y marker_54_z marker_55_x marker_55_y marker_55_z marker_56_x marker_56_y marker_56_z marker_57_x marker_57_y marker_57_z marker_58_x marker_58_y marker_58_z marker_59_x marker_59_y marker_59_z marker_60_x marker_60_y marker_60_z marker_61_x marker_61_y marker_61_z marker_62_x marker_62_y marker_62_z marker_63_x marker_63_y marker_63_z marker_64_x marker_64_y marker_64_z marker_65_x marker_65_y marker_65_z marker_66_x marker_66_y marker_66_z marker_67_x marker_67_y marker_67_z marker_68_x marker_68_y marker_68_z marker_69_x marker_69_y marker_69_z marker_70_x marker_70_y marker_70_z marker_71_x marker_71_y marker_71_z marker_72_x marker_72_y marker_72_z marker_73_x marker_73_y marker_73_z marker_74_x marker_74_y marker_74_z marker_75_x marker_75_y marker_75_z marker_76_x marker_76_y marker_76_z marker_77_x marker_77_y marker_77_z marker_78_x marker_78_y marker_78_z marker_79_x marker_79_y marker_79_z marker_80_x marker_80_y marker_80_z marker_81_x marker_81_y marker_81_z marker_82_x marker_82_y marker_82_z marker_83_x marker_83_y marker_83_z marker_84_x marker_84_y marker_84_z marker_85_x marker_85_y marker_85_z marker_86_x marker_86_y marker_86_z marker_87_x marker_87_y marker_87_z marker_88_x marker_88_y marker_88_z marker_89_x marker_89_y marker_89_z marker_90_x marker_90_y marker_90_z marker_91_x marker_91_y marker_91_z marker_92_x marker_92_y marker_92_z marker_93_x marker_93_y marker_93_z marker_94_x marker_94_y marker_94_z marker_95_x marker_95_y marker_95_z marker_96_x marker_96_y marker_96_z marker_97_x marker_97_y marker_97_z marker_98_x marker_98_y marker_98_z marker_99_x marker_99_y marker_99_z
1706739342914	778.8301391601562 -580.062744140625 1425.265869140625 892.44677734375 -568.17333984375 1442.716552734375 1269.6580810546875 -526.68017578125 1500.8455810546875 1076.8309326171875 -71.46163940429688 1600.4949951171875 735.857421875 -282.850341796875 1429.7032470703125 
1706739342914	776.1980590820312 -580.5256958007812 1422.405029296875 889.3365478515625 -567.595703125 1441.6541748046875 1264.9730224609375 -522.9824829101562 1505.9261474609375 1076.884765625 -71.49934387207031 1600.442138671875 
1706739342915	773.6144409179688 -581.447509765625 1419.7222900390625 886.4434814453125 -567.6736450195312 1440.8148193359375 1260.2406005859375 -519.30908203125 1510.8050537109375 1076.840576171875 -71.47045135498047 1600.39990234375 
1706739342915	770.8661499023438 -581.7771606445312 1416.904296875 883.2957763671875 -566.8985595703125 1439.68115234375 1256.202392578125 -515.6720581054688 1516.7330322265625 1076.915771484375 -71.50528717041016 1600.46044921875 
1706739342916	768.6513061523438 -582.6155395507812 1413.8062744140625 880.0914306640625 -566.385986328125 1438.696533203125 1251.261474609375 -512.0426025390625 1521.4056396484375 1077.0013427734375 -71.47303009033203 1600.4481201171875 
1706739342916	766.2205810546875 -583.3048706054688 1410.817626953125 877.224365234375 -566.3040161132812 1437.3729248046875 1246.3734130859375 -508.4931945800781 1526.1397705078125 1077.14599609375 -71.48081970214844 1600.5048828125 
1706739342916	763.6531982421875 -583.869873046875 1407.857421875 874.1858520507812 -566.0477294921875 1436.0965576171875 1241.314697265625 -505.0286560058594 1530.7928466796875 1077.1943359375 -71.48600006103516 1600.4805908203125 
1706739342917	761.417724609375 -584.7127075195312 1404.697265625 871.185546875 -565.7476806640625 1434.7060546875 1236.224365234375 -501.58172607421875 1535.2730712890625 1077.2744140625 -71.49304962158203 1600.4517822265625 
1706739342917	759.1033325195312 -585.3460083007812 1401.4603271484375 868.2305908203125 -565.499755859375 1433.228271484375 1230.9581298828125 -498.154541015625 1539.5928955078125 1077.3184814453125 -71.51029968261719 1600.3695068359375 
1706739342917	756.3284301757812 -587.041015625 1398.51318359375 865.2431030273438 -565.2410888671875 1431.65185546875 1225.59130859375 -494.8305358886719 1543.800537109375 1077.416259765625 -71.4730224609375 1600.3966064453125 
1706739342918	754.1036987304688 -587.6863403320312 1395.0780029296875 862.0728759765625 -564.8110961914062 1430.0870361328125 1220.2586669921875 -491.66351318359375 1547.8929443359375 1077.383544921875 -71.47562408447266 1600.4010009765625 840.8876342773438 -566.7863159179688 1424.9716796875 
1706739342918	751.8856811523438 -588.383544921875 1391.669189453125 859.2489624023438 -564.7809448242188 1428.2454833984375 1214.6864013671875 -488.4826965332031 1551.8349609375 1077.406494140625 -71.46001434326172 1600.4183349609375 837.9564819335938 -566.9605102539062 1423.10009765625 
1706739342919	749.7444458007812 -589.0346069335938 1388.157470703125 856.1400756835938 -564.3543090820312 1426.5142822265625 1209.091552734375 -485.3675842285156 1555.6253662109375 1077.5286865234375 -71.43711853027344 1600.489990234375 834.9951171875 -566.7020263671875 1420.76806640625 
1706739342919	747.614501953125 -589.6561889648438 1384.6317138671875 853.316162109375 -564.3292236328125 1424.4996337890625 1203.4456787109375 -482.2897644042969 1559.2908935546875 1077.5069580078125 -71.43482208251953 1600.5006103515625 831.8643188476562 -566.422119140625 1418.535400390625 
1706739342919	745.4993896484375 -590.1915893554688 1380.9605712890625 850.373291015625 -564.080078125 1422.5 1197.61767578125 -479.3822937011719 1562.75537109375 1077.544677734375 -71.43894958496094 1600.5264892578125 828.6553344726562 -566.1287231445312 1416.7640380859375 
1706739342920	743.4390258789062 -590.725341796875 1377.1953125 847.4429931640625 -563.8457641601562 1420.4075927734375 1191.6021728515625 -476.4981689453125 1566.17919921875 1077.4677734375 -71.40741729736328 1600.498291015625 823.4832763671875 -565.103759765625 1414.1798095703125 
1706739342920	741.453369140625 -591.2578125 1373.411376953125 844.534423828125 -563.5480346679688 1418.1817626953125 1185.5650634765625 -473.5527038574219 1569.4248046875 1077.5477294921875 -71.39826965332031 1600.609375 
1706739342920	739.5193481445312 -591.7695922851562 1369.5333251953125 841.4136352539062 -563.103759765625 1416.071044921875 1179.5869140625 -470.584228515625 1572.4559326171875 1077.587158203125 -71.34839630126953 1600.6123046875 
1706739342921	737.531005859375 -592.2593383789062 1365.676025390625 838.6488647460938 -563.0044555664062 1413.6173095703125 1173.733154296875 -467.7084655761719 1575.1787109375 1077.6806640625 -71.35675048828125 1600.648681640625 
1706739342921	735.5052490234375 -592.6823120117188 1361.739501953125 835.0634765625 -563.8078002929688 1411.759033203125 1167.6624755859375 -464.9844055175781 1577.7664794921875 1077.859375 -71.32263946533203 1600.6824951171875 
1706739342921	733.6077270507812 -593.082763671875 1357.7138671875 832.1207275390625 -563.5325317382812 1409.268310546875 1161.4638671875 -462.343994140625 1580.323974609375 1078.020751953125 -71.30802154541016 1600.723388671875 
1706739342922	731.7628784179688 -593.433349609375 1353.5721435546875 829.2040405273438 -563.2295532226562 1406.6053466796875 1155.2274169921875 -459.780029296875 1582.6483154296875 1078.06201171875 -71.2634506225586 1600.7216796875 
1706739342922	729.7113647460938 -593.8162231445312 1349.51171875 827.008056640625 -563.85693359375 1403.7266845703125 1148.875 -457.35784912109375 1584.8472900390625 1078.0267333984375 -71.25550842285156 1600.72265625 
1706739342922	727.9181518554688 -593.966064453125 1344.9610595703125 823.9876098632812 -563.47900390625 1400.972412109375 1142.5047607421875 -455.0283203125 1586.889404296875 1078.0286865234375 -71.23080444335938 1600.743408203125 
1706739342923	726.0457763671875 -594.1026611328125 1340.5535888671875 820.9656982421875 -563.0941162109375 1398.0887451171875 1136.020263671875 -452.7825622558594 1588.741943359375 1078.0616455078125 -71.22016906738281 1600.8189697265625 
1706739342923	724.124267578125 -594.211669921875 1336.0516357421875 817.9468383789062 -562.6757202148438 1395.0050048828125 1129.5247802734375 -450.6406555175781 1590.5035400390625 1078.09130859375 -71.17874908447266 1600.833984375 
1706739342923	722.52294921875 -594.4618530273438 1331.196044921875 814.998779296875 -562.1939086914062 1391.7236328125 1122.8946533203125 -448.63970947265625 1592.1279296875 1078.138671875 -71.14466094970703 1600.840087890625 
1706739342924	720.73095703125 -594.3923950195312 1326.3480224609375 812.0100708007812 -561.6535034179688 1388.3453369140625 1116.05859375 -446.7225646972656 1593.7012939453125 1078.1649169921875 -71.09307861328125 1600.7861328125 -1839.6029052734375 -1349.085205078125 506.9101867675781 
1706739342924	718.8917236328125 -594.331787109375 1321.576904296875 809.0042724609375 -561.133544921875 1384.9178466796875 1109.2342529296875 -444.9783630371094 1595.10546875 1078.1729736328125 -71.04896545410156 1600.727783203125 -1838.675048828125 -1349.1309814453125 506.2348937988281 
1706739342924	716.4661865234375 -594.370849609375 1317.276123046875 805.9376220703125 -560.61572265625 1381.3974609375 1102.2244873046875 -443.38409423828125 1596.4962158203125 1078.1517333984375 -71.03331756591797 1600.7169189453125 -1839.568603515625 -1348.7333984375 506.7063903808594 
1706739342925	715.5631103515625 -593.3889770507812 1311.3502197265625 802.8518676757812 -560.0647583007812 1377.8326416015625 1095.4520263671875 -441.7025146484375 1597.544921875 1078.2119140625 -70.99951934814453 1600.7686767578125 -1840.147216796875 -1348.1224365234375 506.85028076171875 
1706739342925	713.8889770507812 -593.1030883789062 1306.33935546875 799.8788452148438 -559.6046752929688 1374.2259521484375 1088.2880859375 -440.1351013183594 1598.576416015625 1078.1861572265625 -70.96075439453125 1600.7176513671875 -1840.01513671875 -1347.195068359375 506.34356689453125 
1706739342926	712.0238647460938 -592.9368286132812 1301.203369140625 796.6243286132812 -559.06396484375 1370.490966796875 1081.1688232421875 -438.6874694824219 1599.557373046875 1078.288818359375 -70.9159164428711 1600.7880859375 
1706739342926	709.6918334960938 -592.6587524414062 1296.220703125 793.4457397460938 -558.5313110351562 1366.7154541015625 1074.0421142578125 -437.86614990234375 1599.998291015625 1078.2957763671875 -70.88225555419922 1600.8411865234375 
1706739342926	708.0134887695312 -592.5020141601562 1290.859619140625 790.3257446289062 -558.03173828125 1362.824462890625 1066.6314697265625 -436.4752197265625 1600.6331787109375 1078.211669921875 -70.86134338378906 1600.9107666015625 487.6673889160156 -563.48291015625 1759.371337890625 
1706739342927	706.3482055664062 -592.2865600585938 1285.405029296875 787.29345703125 -557.548828125 1358.854248046875 1059.2152099609375 -435.1333312988281 1601.1263427734375 1078.1815185546875 -70.81261444091797 1600.955810546875 476.7858581542969 -563.1774291992188 1760.744140625 
1706739342927	704.6646118164062 -592.1202392578125 1279.8878173828125 784.234619140625 -557.0309448242188 1354.6217041015625 1051.7305908203125 -433.82470703125 1601.51904296875 1078.3668212890625 -70.78863525390625 1600.9788818359375 467.2812805175781 -562.5529174804688 1761.829833984375 
1706739342927	703.1013793945312 -591.8958129882812 1274.181640625 781.0631713867188 -556.3200073242188 1350.3194580078125 1044.03955078125 -432.5312194824219 1601.713134765625 1078.467041015625 -70.76351165771484 1601.062744140625 456.0319519042969 -562.4151611328125 1763.1116943359375 
1706739342927	701.518310546875 -591.7473754882812 1268.456298828125 778.0985717773438 -555.877197265625 1345.9244384765625 1036.2220458984375 -431.251708984375 1601.7335205078125 1078.597900390625 -70.74217224121094 1601.130859375 446.3798828125 -561.8912963867188 1763.8746337890625 
1706739342928	699.9839477539062 -591.5435180664062 1262.5823974609375 775.1382446289062 -555.4086303710938 1341.3704833984375 1028.638427734375 -430.1026306152344 1601.5701904296875 1078.587646484375 -70.68035888671875 1601.0489501953125 435.1664733886719 -561.7813720703125 1764.7008056640625 
1706739342928	698.65380859375 -591.3419799804688 1256.5166015625 772.0081787109375 -555.0023803710938 1336.9559326171875 1020.7499389648438 -428.88134765625 1601.27197265625 1078.5386962890625 -70.6522445678711 1600.9893798828125 424.16162109375 -561.5824584960938 1765.4483642578125 
1706739342928	697.1294555664062 -591.00830078125 1250.5714111328125 770.0974731445312 -553.6406860351562 1331.1949462890625 1012.8734130859375 -427.69171142578125 1600.7906494140625 1078.721923828125 -70.61408233642578 1601.060791015625 413.0610656738281 -561.376220703125 1766.01513671875 
